"Gene","HR","p.value"
"MMP9",1.021,0.622105820340018
"C14orf4",0.947,0.622155938288613
"SNHG3.RCC1",1.033,0.622173063107494
"PCDHB1",0.964,0.622178191123099
"ZFAT",0.947,0.622230953317939
"CDRT1",1.027,0.622414043197603
"ALX3",1.031,0.622485757422322
"ZFYVE28",0.961,0.622669479899846
"ABHD10",1.083,0.622722314063259
"KNCN",0.944,0.622732732574405
"ELK4",1.058,0.622768147982939
"CAPN7",0.918,0.623013318858687
"FGF21",0.957,0.623041064739942
"EGOT",0.977,0.623051760705886
"CXorf58",1.05,0.62318843043247
"MTNR1B",1.119,0.62320112867954
"SNRNP40",1.077,0.623215033195505
"TTC9B",1.044,0.62326759258538
"CUL5",0.927,0.623366453256625
"SLC12A7",0.959,0.62356337333624
"APOM",0.97,0.623792216666189
"RHOBTB3",1.033,0.623835850814224
"PGLYRP1",1.048,0.623840361972246
"KIAA0040",0.949,0.62408146321494
"ZNF624",0.938,0.624245066728773
"LMCD1",0.959,0.624325079459001
"PVRL3",1.023,0.624371127753071
"OLIG1",0.98,0.624428687686933
"TBC1D22A",1.083,0.624493588745181
"MSLN",1.01,0.624506707391626
"LEPREL2",0.97,0.62455495030068
"SAMD9L",1.031,0.624669143967145
"DENND1B",0.953,0.62475809014912
"SPDYE8P",0.948,0.624788846522692
"BRS3",0.928,0.624814023788216
"TM7SF2",0.964,0.624877855826457
"DCDC2",0.982,0.624880495597026
"KCNQ5",0.982,0.625080525312427
"SLC17A3",1.037,0.625136839896105
"KIRREL",0.976,0.625243859736463
"QTRT1",0.949,0.625266385286567
"USP34",0.935,0.62539348139265
"HIST1H4C",0.956,0.625452062360752
"DSCR9",0.956,0.625572791318344
"ESYT1",0.927,0.625615622746754
"HIST1H1T",1.048,0.625632645299361
"PRKAG3",1.084,0.625690550211351
"MPST",1.047,0.625707307719306
"TDO2",1.023,0.625806864487669
"HSPG2",1.036,0.626055266196213
"BLID",1.056,0.626267417269372
"ZNF326",1.068,0.626343177794452
"GTF2H1",1.093,0.626355030026303
"C21orf56",0.974,0.626363670158059
"IL31RA",1.015,0.626387025594419
"RNGTT",1.076,0.626476337354646
"MRPL48",0.943,0.626478148646092
"GABRA5",1.028,0.626558534960535
"C21orf59",1.068,0.626714634402059
"CORT",0.969,0.62689754012585
"SERPINB1",1.042,0.626930658818379
"MAPK8",1.056,0.626997634318873
"LRCH2",0.977,0.627071466166159
"CCDC132",0.932,0.627169721440512
"SPACA3",1.03,0.627292589089463
"CCDC74A",1.027,0.627527305032919
"CREBBP",0.941,0.627621799921937
"MBNL1",0.943,0.627657666865338
"TJP2",1.057,0.627684052479101
"EPB42",1.08,0.627789040084311
"TGM7",0.927,0.628039841092369
"OBSCN",0.97,0.628057137470568
"TLN2",1.038,0.628076053174842
"CAPZB",1.091,0.628224539838344
"DYNC1I1",0.977,0.628368178408656
"ARRDC2",0.95,0.628498322480602
"EWSR1",1.099,0.628521223864449
"KRTAP5.4",0.918,0.628523352123857
"TP63",0.984,0.628568762158111
"XRCC1",1.072,0.628713200252745
"PMS1",0.927,0.62872000857364
"RBP4",1.018,0.628799009722515
"NAT8",0.957,0.628960689422572
"FN3KRP",1.077,0.629072315150378
"KCTD8",0.972,0.629182098145345
"RPL3L",0.937,0.629337844676422
"MLNR",0.952,0.62936229809867
"SBF1",0.953,0.629368108696655
"UGT1A6",1.009,0.629458808829907
"GDAP1L1",0.964,0.629548398385154
"ZFC3H1",1.062,0.629604136549171
"C14orf43",1.066,0.629620873818943
"NMT2",1.054,0.629652542453206
"TAB2",1.075,0.629726015036458
"GPN2",0.91,0.629740541086708
"PADI4",1.031,0.629748408297678
"FLJ44635",1.022,0.62999005201078
"TECPR2",0.938,0.630051702082981
"TAS2R50",0.914,0.630088878388914
"APOL3",0.967,0.630109051786387
"KCNJ13",0.96,0.630158479860366
"CHD2",0.948,0.630646048676506
"ARHGAP22",0.966,0.630776867305388
"HIST1H4D",0.958,0.630794736146091
"ANKRD39",0.946,0.630812544830986
"TMEM179",1.036,0.630885706061106
"PTPRU",0.973,0.631052263537
"TBC1D3",0.961,0.631058097554692
"BOC",0.969,0.631139300532705
"RPL11",0.941,0.631535169214996
"NAA35",1.078,0.631549440460154
"CCNC",0.945,0.631563064487422
"TECR",0.932,0.631663392246767
"CLEC3A",0.965,0.631722955799118
"OR13J1",0.941,0.631730893005823
"ADAM8",0.971,0.631747342576253
"SDF2",0.934,0.632045200844566
"BCLAF1",1.093,0.632064102555079
"PUSL1",0.953,0.632102627541752
"PECI",0.958,0.632386356760746
"RPGRIP1L",1.05,0.632459795911541
"RPPH1",0.974,0.632492552110484
"SNORD17",1.035,0.632508436940043
"COPA",1.081,0.632559424434709
"HSD11B2",0.973,0.632573991569973
"SCRT2",0.926,0.63262918175656
"SPA17",1.035,0.632644048110598
"FBXO47",0.949,0.632701804230381
"CFDP1",0.938,0.632703752872605
"LOC100134229",0.965,0.63287069503242
"C11orf63",1.029,0.632886267411724
"C6orf15",0.978,0.632987968690341
"DGKH",1.038,0.633084042257755
"TM4SF5",1.014,0.633330095678683
"CD97",0.961,0.633355383568219
"LPAR2",1.056,0.633441993306462
"MBD1",1.088,0.63353699541553
"C10orf93",0.978,0.633576535785634
"SLC28A1",0.971,0.633598277093599
"PFKM",0.945,0.633642509779404
"KCNK9",0.981,0.633646397120349
"CCDC61",0.95,0.633685146087379
"SRD5A2",0.984,0.633839537685149
"C1orf25",1.075,0.633885697314278
"TBC1D5",1.068,0.633905158308264
"DCBLD1",1.04,0.633907007338534
"PDSS2",0.929,0.634031362563912
"ARF5",0.941,0.634089472887088
"LOC100286844",0.955,0.634109333951793
"C20orf4",0.904,0.634116583604336
"NDP",1.016,0.634303273812283
"RAPGEFL1",1.028,0.634466612862225
"PTPN20B",0.984,0.634614019547708
"APOA2",1.031,0.634839348620676
"SNORA31",1.086,0.635006483565296
"PURA",0.94,0.635059713468986
"INS.IGF2",0.959,0.635193015325346
"LOC389033",0.893,0.635347139731817
"C4orf6",0.976,0.63549060481112
"OCLM",1.038,0.635516886162902
"KIAA1467",1.042,0.635548982409119
"TREML4",0.972,0.635607034841758
"IDI1",1.048,0.635691110971274
"RANBP2",0.935,0.635759962812894
"TRIM44",1.047,0.635798653070452
"LOC440356",0.98,0.63586853699429
"RNF11",0.929,0.635962439058238
"LOC91948",0.954,0.636001744127792
"DENND5B",1.034,0.636118552892691
"BMPR2",0.938,0.636184498191533
"ZNF565",0.936,0.636256591417231
"MIS12",0.93,0.636273986335052
"OR6S1",0.861,0.636279333635253
"KCNJ8",0.973,0.636339868014417
"IL4R",1.055,0.636407982980116
"KCNG4",1.149,0.636547023802888
"MMP16",1.025,0.636673164492181
"ARL16",0.951,0.636676235187434
"GLYATL2",0.985,0.636916656872061
"ARRDC1",0.948,0.636919782777147
"PAF1",1.077,0.636933844869181
"BRD7P3",1.064,0.636989929903015
"VSX1",0.975,0.637119517949771
"ALDH1B1",1.044,0.637121066175915
"PQLC2",0.942,0.637203057696636
"HLA.DRB6",0.985,0.637228410708312
"NSFL1C",1.081,0.637265530347522
"SGPL1",1.066,0.637273177090791
"SLC7A9",1.018,0.637376838580155
"CAMSAP1",0.943,0.637524392417863
"KCNQ1DN",1.114,0.63753195292643
"TMTC1",1.023,0.637739071240454
"TOMM20",1.061,0.637763136532666
"RPS4X",0.949,0.637777444701298
"FAM101B",0.96,0.637916819692438
"AKIRIN1",0.932,0.637918065780567
"IFIT3",1.033,0.638018166700035
"GFM2",1.07,0.638027162101358
"HFE",1.037,0.638338970269169
"C15orf55",0.959,0.638528175367599
"ATP5S",0.945,0.638540695936537
"MTCH1",0.923,0.638561778510037
"EXOC3L",0.965,0.638604701289008
"SIK3",0.939,0.638635105583483
"KTELC1",0.936,0.638667953953766
"C22orf24",0.951,0.638768114867116
"TMPRSS7",0.966,0.638819950685959
"TSPYL5",0.978,0.638868090303233
"PTPRK",1.055,0.638933247257319
"DET1",0.952,0.639044069603588
"PTGER1",0.977,0.639097556974355
"GAGE2A",0.979,0.639504784773648
"GOLGA8G",1.04,0.639591507014291
"SCGBL",0.946,0.639650455706526
"MAPKAPK2",0.918,0.639691187601946
"AGK",0.922,0.639697253433979
"APOA4",1.031,0.639762367904873
"POLR3GL",0.947,0.639900075931801
"MPZL2",0.971,0.639921461045869
"ROPN1B",0.978,0.639924365823806
"NCOA1",0.948,0.639942097323922
"HLA.C",0.965,0.639987297953931
"THEG",0.978,0.640011538507984
"SPIC",1.04,0.640127944691643
"ZMYM4",0.917,0.640167321367896
"MGC57346",0.948,0.640186766983621
"C16orf73",1.016,0.64026280957329
"UHMK1",1.031,0.6403236090572
"ZFHX3",0.958,0.640654834424026
"MYNN",1.061,0.640684007157958
"ATRNL1",0.978,0.640975655958851
"SLC6A19",1.032,0.641060544165272
"KIAA0368",1.07,0.641181569119428
"GNPTG",0.946,0.641303695095338
"FAM151B",1.049,0.641375971985226
"OLFML3",0.973,0.64137884742456
"PDZD11",1.057,0.641563299347247
"CHRNA3",1.024,0.641565264809713
"SLC25A11",0.932,0.641577798270249
"FAM178A",0.928,0.641651909240128
"TDRD9",0.983,0.641678933494207
"BTN3A2",0.963,0.641703574889929
"C19orf53",1.054,0.64193298912583
"MAGED4B",0.98,0.642017521149092
"ZNF804B",1.103,0.642024723739465
"CCL24",0.976,0.64221300486837
"C6orf114",0.961,0.642272255435907
"C1orf27",1.067,0.642305139762765
"PRPS1",0.934,0.64233696092478
"UTP23",1.061,0.642347654573186
"TNFSF10",0.972,0.642589108855607
"COL8A1",1.023,0.642693096193154
"EPHB4",1.047,0.642784379302487
"ZBTB6",0.937,0.642989434487559
"SYCE1",0.983,0.643090519890234
"MICALL2",1.036,0.643135094105134
"XYLT1",0.975,0.643267278421773
"SEMA5B",1.023,0.643413228235263
"BTBD8",1.032,0.643461961707603
"TNNI3",1.013,0.64357936642114
"SUMF2",1.051,0.643624869601485
"CCDC80",1.026,0.643672596049852
"LOC388789",0.947,0.643826266364048
"MRPL20",0.929,0.643919427045898
"TTLL6",0.982,0.643928464464208
"C19orf73",0.965,0.643983559150427
"DOLPP1",1.077,0.644717731592445
"LOC100131691",1.035,0.644804385429483
"AMZ2",1.079,0.645004323816781
"NPDC1",1.029,0.64502275639014
"HIBCH",0.943,0.645128137318377
"TOB2",1.065,0.645162850155207
"SUV420H2",0.959,0.645211882179042
"VWA5B2",0.978,0.645272933609813
"ZNF718",1.045,0.645329787891009
"ZNF638",0.932,0.645388110023325
"ARHGEF5",1.053,0.645392142814187
"C1orf212",0.93,0.645666155722135
"FAM78B",1.03,0.645817648436924
"H3F3C",1.063,0.645837895997825
"TOP1P1",1.073,0.645853792610853
"C8orf37",1.047,0.646349368295346
"HEATR7B2",0.935,0.646352773232114
"PAPOLG",0.926,0.646408162062289
"B3GNT6",1.011,0.646454295646232
"ACCN4",0.971,0.646588981329802
"PRKACG",1.116,0.646847886300746
"BACE1",0.953,0.646848685236254
"SUPT5H",1.067,0.646938321350563
"LOC285205",1.054,0.646982499391409
"SEC31A",1.088,0.647008931918509
"PLXNB2",1.046,0.647063969320661
"MAP4K3",1.071,0.64710719800124
"IMPG2",0.959,0.64712278914954
"BASE",0.97,0.647192335323662
"PDIA3",1.049,0.647311228593523
"CNOT8",0.947,0.647377513303604
"PIWIL1",0.98,0.647402048940278
"MICB",1.031,0.647407083701929
"FAM120AOS",1.074,0.647435569120911
"RGS16",0.973,0.647458430691432
"MGC16275",0.959,0.647511183369203
"ENKUR",1.016,0.647634188585052
"CD68",0.969,0.647662643570412
"KIAA0355",0.942,0.647851952495117
"STX4",0.936,0.648045972379412
"KIAA1614",1.031,0.648233002290685
"CIRH1A",1.072,0.648276415414511
"CD320",0.959,0.648343090609546
"SSNA1",0.948,0.648537693404297
"SLC25A46",0.952,0.648596393423002
"SFMBT2",0.975,0.648899120753186
"SLC7A2",1.015,0.649022871445182
"C1QC",0.975,0.649185596500811
"THNSL1",1.048,0.649197878497345
"CASK",1.056,0.649370058000249
"PMS2L1",1.058,0.649384964450907
"PRDM12",1.034,0.64939428529462
"SCARA3",0.976,0.649465077519912
"FZD1",1.036,0.649479047455826
"UNC5B",1.034,0.649559604737845
"RTTN",1.05,0.649578734018675
"GPR135",1.038,0.649582303737326
"UBE4A",1.078,0.64964013124881
"TBC1D13",0.935,0.64970132469434
"C7orf42",1.084,0.649718045125862
"HOXC13",1.011,0.649750528929105
"F7",1.017,0.649826371109258
"LOH3CR2A",0.97,0.649848488773467
"WDR44",1.065,0.649869854889199
"NCRNA00114",1.157,0.649881870256204
"UGT1A4",0.954,0.650110945952937
"LNPEP",1.04,0.650127633050651
"BCAR4",0.983,0.650135983546972
"OR5M11",1.093,0.650187671627582
"DDX42",0.93,0.650289594343173
"NRXN2",0.977,0.650326952452701
"TUBA3C",0.982,0.650331284319209
"SELE",0.98,0.650416419655656
"LIG3",1.066,0.650452216614344
"SYNM",0.963,0.650636476896105
"CNDP1",0.972,0.650987769942362
"YIPF6",1.052,0.651038658573159
"SMCR8",0.948,0.651138612861915
"ZCCHC3",0.936,0.651191424639528
"LOC374491",0.971,0.651262824739595
"MLXIPL",1.02,0.651337881647793
"GBA",1.063,0.651510524458978
"BMP2",1.022,0.651536450805989
"DYNC1LI1",1.097,0.651538100372358
"ZNF284",0.963,0.651770268458457
"DLEU2",0.966,0.651938063759919
"C6orf105",0.979,0.65199952881897
"MDK",1.027,0.652136023024569
"STOML1",0.954,0.652171853128681
"AGXT2L1",1.012,0.652218438758468
"C17orf96",1.034,0.652309288961433
"RAC2",0.968,0.652324381221056
"C17orf75",0.948,0.652344264553235
"RPL28",1.044,0.65240185813472
"EPB41L3",0.974,0.652445179961174
"TSHZ3",0.971,0.652496929370558
"IER2",0.958,0.652506161705421
"REEP1",0.98,0.652588734532616
"SLC24A1",0.952,0.652640989109489
"C12orf24",0.965,0.652748979753524
"FXN",0.931,0.652815318002729
"DKK4",1.026,0.652888900064858
"MIA",0.984,0.653009760642103
"FLT4",0.967,0.653034960361379
"LOC728758",1.054,0.653054887250051
"ADNP",0.931,0.653491638813768
"C8orf40",1.048,0.653511713284314
"PSPC1",1.072,0.653896042348988
"TMED8",1.07,0.653966515996284
"THOC7",1.068,0.653987472594827
"RPS14",0.96,0.654084627339985
"ALPPL2",0.988,0.654155938103336
"ANXA11",0.936,0.654281562389
"UQCR11",0.95,0.654313065376019
"MIMT1",0.907,0.654577546365867
"KRCC1",1.041,0.654652556583711
"HTR2A",0.974,0.654653362972216
"NEURL1B",0.974,0.65474373027785
"TIMM10",1.053,0.65474627427824
"PXMP2",1.048,0.654791908497383
"NFKB1",1.06,0.654835095367828
"LOC100144603",1.031,0.654855057789523
"TNFSF4",1.029,0.654886211039164
"ZNHIT1",0.956,0.654947900986868
"NSF",1.067,0.655042529561928
"SLC35C2",0.932,0.655075176244186
"CUX1",0.943,0.65511523717342
"CSAG2",0.987,0.655357062761653
"RNF220",0.908,0.655424185246729
"C10orf125",0.973,0.655444968155038
"DDIT4L",0.983,0.655464785712252
"TEDDM1",0.955,0.655508555793263
"BOLL",1.039,0.655679570226349
"FOXP2",1.02,0.655757965287351
"SLC9A4",0.981,0.655888576629974
"YY2",0.964,0.656026732254891
"LOC100130872",1.027,0.656074787884134
"RNF186",0.985,0.656163637540826
"OTUD7B",1.057,0.65630099430132
"TADA1",0.939,0.656394099820429
"DDX4",0.96,0.656406454733573
"BCL6B",1.036,0.656477531425782
"IL13RA1",1.058,0.656504723236207
"CITED4",0.975,0.656518426338532
"C10orf10",1.033,0.656535856279584
"ATXN10",1.081,0.656557448947756
"USP11",0.942,0.65658313115884
"AADAC",0.987,0.656684282368932
"RGS6",0.984,0.656792381345765
"ABCC13",0.979,0.656876876273932
"GMEB2",0.941,0.657109082990662
"DAPK3",1.055,0.65724775040637
"MGC4473",1.033,0.657377578174711
"GYPA",1.081,0.657403987621793
"FSCB",1.067,0.657934263329234
"DTX1",1.032,0.657950851020393
"CARD10",1.033,0.657952568272922
"LRRC69",1.029,0.657962950300109
"SSX4",0.976,0.657973245765315
"POGK",0.934,0.65797673774976
"ZNF280A",1.019,0.65807201981995
"MEA1",0.941,0.658135446979179
"KLHL29",0.976,0.658153392310342
"TCHHL1",1.03,0.658163168460363
"ACP2",0.935,0.658233196644764
"TTC36",1.04,0.658337344131801
"PARP14",0.956,0.658416512381723
"GPR22",0.945,0.658627882347181
"ARID1B",0.943,0.658658978876099
"CETP",0.975,0.658753119579694
"APOOL",0.957,0.658869050384226
"EHD4",1.068,0.658936842752265
"CCDC11",0.98,0.658955841751542
"ARL8B",0.927,0.65901681367702
"ALB",1.012,0.659284858072337
"RNF19A",0.961,0.659336061836229
"SLC23A3",1.024,0.659367549888691
"OPRD1",1.03,0.659464128230775
"BAZ2A",1.055,0.659505046938478
"NRCAM",0.981,0.659521166987511
"FAM53C",0.93,0.659536601211646
"SEC24B",1.081,0.659685504097518
"HRNBP3",1.026,0.65968573105573
"KRTCAP3",1.029,0.659686038483145
"MEGF10",1.018,0.66000510913569
"TBCB",1.054,0.660123187957111
"GCC2",0.947,0.660322545364987
"IFT122",0.948,0.660449430419635
"DDX25",1.021,0.660499266152939
"RNF39",0.98,0.660685616863253
"MYO5B",0.963,0.660705107118446
"PLEKHJ1",0.946,0.660747411612448
"ZKSCAN1",0.964,0.660753931407552
"MATN4",1.027,0.660857281520261
"NT5M",1.03,0.660864003259712
"BMP6",0.983,0.660880994779735
"PYY",1.028,0.660911283206685
"CMTM3",1.034,0.660978314088739
"PCDH8",0.984,0.661053367960191
"HYAL2",0.94,0.661158047042672
"ADIPOR1",1.076,0.661292844704638
"FIBP",1.075,0.661393743267834
"NNMT",1.025,0.661404750643776
"RPL3",0.948,0.661405878527232
"SYPL2",1.025,0.661527177011969
"NUP160",1.068,0.661653923830246
"SLC30A3",0.982,0.661690315008407
"GPT2",0.976,0.661712326629045
"ID2B",0.968,0.661719704296361
"PAPOLA",1.071,0.661821347934359
"HEG1",1.031,0.661826296424198
"CRCP",1.075,0.661835441957749
"CEP350",0.936,0.661887335848296
"BTRC",1.075,0.661955840622779
"WTAP",1.078,0.662100453072994
"MYLK2",1.031,0.662238485989335
"MYEOV2",1.048,0.66227821360996
"GNRH2",0.964,0.66231308608098
"KLK1",0.982,0.662519820277364
"LYPLA2P1",1.061,0.662583844672878
"NLGN2",0.965,0.662638032468443
"PRSS41",1.035,0.662686475261272
"PPWD1",0.934,0.662690382881398
"ADRA1D",1.024,0.662835142335459
"ITIH5L",0.981,0.662907725376079
"CDH6",0.977,0.662962473559404
"TNFRSF10B",1.045,0.662990950269817
"FLJ42393",1.029,0.662998197263496
"OR13H1",1.167,0.663084044732445
"C10orf108",1.015,0.663171670895195
"TMEM87A",0.947,0.663318931359644
"GLTSCR2",0.952,0.66339044757321
"ADAMTS19",0.977,0.66377093263937
"WDR25",0.946,0.663798504802202
"SBDSP1",1.068,0.663811450511997
"NOMO1",1.058,0.663859753885868
"LIMK1",1.042,0.663891200099884
"CARD17",1.041,0.663897673556274
"C12orf35",0.956,0.663901745813084
"TAC3",1.018,0.663902245732804
"MGC72080",1.036,0.663922434560173
"CCDC97",1.074,0.664197087671725
"DPP6",0.977,0.664205081551337
"LOC145783",0.965,0.664358639170898
"ZFY",1.009,0.664506474077038
"EXOC3L2",0.968,0.664524604592011
"POLR2E",1.078,0.664532509467868
"FAM106A",0.975,0.664660316544258
"CDX1",1.028,0.6646814859904
"NOL8",1.076,0.664807449866392
"NR2E1",1.018,0.664902392034737
"MFGE8",0.966,0.664996640886913
"C14orf148",1.035,0.665014460643853
"SAMD14",0.97,0.665148947925376
"TTTY2",0.955,0.665158975887829
"AKT1",0.935,0.665487578667029
"LOC285796",0.947,0.665528953537581
"RBM20",0.98,0.665608382674499
"PKD1L1",0.97,0.665635541850271
"SCHIP1",1.039,0.665941243174532
"SPESP1",0.983,0.665990383619464
"MYB",0.975,0.666071587651379
"RHO",0.943,0.666125160043404
"SHISA7",1.041,0.666134525999703
"LOC100133469",1.016,0.666296048148699
"DNAL4",1.066,0.666403154452697
"UBAP2L",0.935,0.666512695262066
"MGAT4B",1.059,0.666567470651307
"TBC1D9B",0.944,0.666571482533074
"EIF1",0.931,0.666603160905272
"NUP93",1.074,0.666747366095821
"TMEM211",1.037,0.666853082613346
"ERGIC3",0.938,0.667066484213364
"KDM6B",0.956,0.667298931750789
"FAM134C",0.918,0.667331953090923
"TGFBRAP1",1.04,0.667374309250038
"SDHD",1.061,0.667586606504558
"FILIP1L",0.972,0.667623014917668
"LOC387647",0.936,0.667739210299226
"PER1",1.028,0.667767632347273
"LZTS1",1.032,0.667789612321356
"TSPAN12",0.971,0.667882759997669
"GPRIN3",0.974,0.667897552351888
"TUT1",1.067,0.668045955018885
"NUDC",1.069,0.668186133009377
"FLJ12825",1.024,0.668475236972837
"C9orf95",0.953,0.668495359315562
"ATP5L2",1.045,0.668502457553755
"ZPLD1",1.018,0.668538005586679
"BFAR",1.052,0.668548665465732
"PMS2CL",0.949,0.668566410089312
"C1orf58",1.044,0.668597542163383
"FRK",1.04,0.668666575921825
"SH2D7",1.041,0.668747910393397
"CHODL",1.017,0.668834438464183
"ADAM23",1.019,0.668888574298372
"PIGY",0.937,0.668912087629649
"CREBZF",0.948,0.66908289193929
"UBQLN4",1.058,0.669173829088082
"MAP7D3",1.029,0.669192870434245
"MYO1D",0.961,0.669229071501812
"MTX3",1.054,0.669268588188515
"DCTPP1",1.046,0.66928280254808
"FAM43A",1.033,0.669286584344157
"IFT20",0.95,0.669345272948651
"CLDN4",0.963,0.669444418948603
"ANO5",0.983,0.669444568848866
"CTAG2",0.987,0.669509252130544
"PPP1CA",1.067,0.669611177986585
"NLRP12",0.982,0.669728755603454
"FBXL2",0.96,0.669733553480092
"TEAD3",1.052,0.669847568983587
"FLJ45445",0.977,0.669870691426315
"THOC2",0.942,0.669930958312425
"APOL4",0.974,0.669970731925775
"DSCAM",0.979,0.670068902638236
"LOC340508",1.042,0.670077615485179
"MDGA2",1.022,0.670144053224955
"C10orf18",1.064,0.670310556576126
"GPX7",0.972,0.670322808208165
"C1QTNF8",0.952,0.670330567805121
"C11orf2",0.939,0.67041700147407
"HYAL4",1.03,0.670531686693994
"PLVAP",1.035,0.670544053100586
"PRKD1",0.974,0.670553506435489
"ANKMY2",0.945,0.670584528447352
"C9orf11",1.067,0.670878892387972
"FER1L4",1.015,0.670891049395717
"FABP7",1.017,0.670963603662873
"VPS35",0.931,0.671065050479667
"RNF40",1.068,0.671092294742634
"HSPB1",0.968,0.671125825958412
"CBLL1",1.076,0.671147345748809
"FGFR1",1.029,0.671191250983187
"UBXN8",1.044,0.671206895474456
"RWDD1",0.94,0.671350288434806
"SCN1B",0.973,0.671422753301782
"TFB1M",1.055,0.671477473624053
"ZNF343",0.946,0.671485703748617
"SLC25A39",1.052,0.671497596121394
"PPM1J",0.977,0.671547460415334
"C14orf23",1.04,0.67159225121412
"LGALS3BP",1.035,0.671596995190203
"C6orf125",0.958,0.671948444474235
"SERPINB2",1.015,0.672055205295745
"RPS11",1.045,0.672117149196313
"SDHAF1",0.95,0.672322105908936
"ZNF765",1.067,0.67235286395985
"ARFGEF2",0.944,0.672428739481458
"ATR",1.062,0.672512615229209
"SPRR2G",0.963,0.672574328851267
"SMARCC2",0.942,0.672603411939221
"C14orf104",0.949,0.67261109473228
"ANKIB1",1.061,0.672650890308134
"EFNA4",0.962,0.672669003298392
"EPHB3",0.969,0.672678787088233
"B3GNT9",0.963,0.672785684253502
"TSPAN1",1.017,0.672812378623076
"CTAGE5",1.042,0.672818568786344
"SNORD94",1.085,0.67290020103419
"USP9X",1.066,0.672920014275577
"SIK2",0.953,0.67301937955016
"CALB1",0.985,0.673063311459459
"CHURC1",1.061,0.6730853166624
"APPBP2",0.928,0.673181438060768
"TMEM105",0.98,0.673204997835712
"ATAD3A",1.047,0.673385183573022
"MRPS36",0.953,0.673455448434782
"PPM1B",0.916,0.67351302144564
"B3GALT1",1.036,0.673557444704252
"SPAG4",1.026,0.673625319600456
"EPHA6",1.018,0.673652312914202
"C1orf159",1.044,0.673859438847341
"CRABP2",0.987,0.673908427220765
"KISS1R",1.015,0.674047518923501
"PTPN3",0.963,0.674119364349095
"SCARB2",1.067,0.674221099062371
"LOC100130932",1.047,0.674239763642209
"TNRC6B",1.051,0.674517805921821
"RNF167",0.928,0.674554270119949
"HIST1H2BH",0.982,0.674607341146172
"C1orf104",0.973,0.674670984494519
"HLA.B",0.972,0.674695824375055
"NKX2.2",1.021,0.674696023151099
"RASSF3",0.968,0.674820922489492
"PKP4",1.06,0.674979786370318
"ENTPD8",0.985,0.675027138360445
"SMEK1",1.078,0.675086443464139
"TOMM20L",1.047,0.67513128902735
"MAT2B",0.95,0.675214984979932
"TTC17",0.936,0.675297724424876
"FAM102A",1.047,0.675445523869827
"CSRNP1",0.964,0.675519081041768
"FAM86D",0.966,0.67558659145151
"DECR2",1.04,0.675700149753854
"TTC22",1.032,0.67588949694803
"TBX22",0.95,0.675942892179545
"LOC151162",0.96,0.676030531802098
"DNLZ",1.038,0.67603838003012
"CCDC19",0.983,0.676044466620048
"PPM1N",1.02,0.676201362657707
"SETD5",0.945,0.676208917008285
"C19orf55",1.04,0.676444041441383
"CRTC3",1.066,0.676976152065781
"C17orf90",0.959,0.676978448931796
"PHPT1",0.964,0.677108766319226
"ZNF222",1.053,0.677139412030402
"ITFG1",1.057,0.677171521651038
"MGC42105",1.018,0.677346999109561
"NNAT",0.976,0.677356499777065
"ZNF703",1.022,0.677461722916112
"C17orf106",0.955,0.677471058038445
"SLC39A12",0.959,0.677583660893031
"SEC22A",0.937,0.677674261874599
"C15orf60",1.039,0.677779004408366
"RFPL3",1.05,0.677854596152198
"AVPR1B",1.031,0.677857993116703
"HEATR5A",0.958,0.678110921327862
"UGT2A3",1.024,0.678148403532756
"CSNK2A2",1.074,0.678252279481348
"DPP8",1.048,0.67832265123748
"C4orf21",1.033,0.678516447610339
"ADAMTS18",1.019,0.678772022621669
"CDK5RAP1",0.938,0.678784544932658
"SNORA21",0.907,0.678869874733815
"PCDHB4",1.03,0.678895721482097
"FAM177A1",0.964,0.678913557459521
"TMEM203",0.932,0.678959776447032
"CASP8",1.055,0.67898410622399
"FAM123B",0.958,0.67908244148269
"VNN3",1.016,0.679187875095236
"BACH2",1.028,0.679280187811767
"ZFYVE16",0.937,0.679312281241546
"HLA.A",0.97,0.67954122783726
"SH3BP4",1.038,0.67964687095307
"CSRP1",0.946,0.679769447559107
"EEF2",0.952,0.679818523701843
"EGR4",1.018,0.679889961429498
"MOBKL1B",1.054,0.680075202197441
"USP8",0.938,0.680158452310624
"LAPTM4B",0.967,0.680202797726901
"KCNE4",0.983,0.680288547636881
"UBE2A",1.063,0.680438249931494
"EGFL8",0.979,0.680502855311432
"UBXN4",1.083,0.680706351185032
"COMMD6",0.95,0.680730163960591
"ATAD3B",0.97,0.680976813693685
"CRIP3",0.975,0.681013417154717
"DAGLA",0.969,0.681078414605378
"C17orf89",1.046,0.681262181882034
"FAM55A",0.941,0.681610815857644
"C9orf23",1.048,0.68171044621396
"LYPD6B",1.013,0.681844447274368
"ATG3",0.929,0.682026436573488
"ASB10",1.085,0.682340992895076
"STK32C",0.969,0.682354689527869
"DHPS",1.066,0.682356610637352
"TXNIP",0.971,0.682375923306975
"RPL24",0.96,0.682419024014226
"MUS81",1.067,0.682424596762658
"BIN1",1.049,0.682649200256745
"NCOA6",1.052,0.682657841350923
"PPA1",0.949,0.682717381678225
"NEO1",1.027,0.682906165716237
"LOC284632",0.94,0.682937023212201
"NDUFAF3",0.948,0.682947792636338
"C15orf2",0.952,0.682960295643747
"FAM195B",0.959,0.683012287489377
