"Gene","HR","p.value"
"EPHX1",0.806,0.000189783406100184
"CLUL1",0.859,0.000191339471370044
"CDADC1",0.56,0.000191666148738788
"EIF5AL1",1.525,0.000191805321258604
"FAM9A",1.5,0.000193777794664875
"CCNB2",1.24,0.000194625220746112
"NPAS2",1.255,0.000194687467640419
"ASCL4",0.587,0.000195062925213489
"KCNV1",1.142,0.000196481845437458
"TMEM57",0.543,0.000196722763410399
"FAM72D",1.199,0.000198035144468137
"PTBP1",2.284,0.000198190872435759
"SLC16A3",1.325,0.000198954413467512
"FGF5",1.126,0.000200942541816647
"CD5",0.821,0.000203951248725735
"PERP",1.357,0.000205190276330542
"CDCP1",1.28,0.000206809999989769
"DBP",0.712,0.000207711832615592
"PLEC",1.356,0.000208779026305878
"NDST2",0.574,0.000209585780681346
"MAL",0.836,0.000210686166409599
"LIFR",0.793,0.000211726871949955
"PKHD1L1",0.84,0.00021272326450298
"HLA.DMA",0.805,0.000212999160047103
"FLJ42875",0.868,0.000214279530551719
"TACC3",1.332,0.000214346117946607
"LOC729678",0.66,0.000215769002636804
"GTSE1",1.233,0.000216280090040231
"PNMA2",0.854,0.00021648829366714
"ZNF333",0.606,0.000220503789658176
"CRTAC1",0.901,0.000221560303988376
"SCNN1B",0.875,0.000221656490796994
"CENPH",1.378,0.000222353897777158
"NAPSB",0.84,0.000222412818538172
"YWHAZ",1.612,0.000223203719507307
"FUCA1",0.7,0.000223296035289442
"RAB40B",0.733,0.000224017777282163
"C6orf41",0.763,0.000225397015908051
"VWA2",0.852,0.000225498580644074
"TRIM6",1.242,0.000225655297977502
"CCDC99",1.437,0.000225657904671781
"GPRIN2",0.862,0.000227441013648331
"PTGDS",0.846,0.000231060006711317
"PFKP",1.272,0.000231888705246634
"CAMTA1",0.614,0.000232308519988448
"TEAD4",1.391,0.000233764991826912
"UPK1B",1.082,0.000234314594841404
"MYO1E",1.368,0.000234341698084862
"MESDC1",1.672,0.000234568890265629
"IRX3",0.854,0.000235056783995375
"LOC646999",1.302,0.000235232250474886
"MBIP",0.783,0.000235556784985203
"PBK",1.196,0.000236629327170455
"STK32A",0.883,0.000236866106384958
"CENPF",1.224,0.000239355196550443
"DNAJB4",1.311,0.000240022021418977
"CENPE",1.228,0.000241474910810056
"GFI1B",0.73,0.000241919158056147
"HABP2",0.91,0.000242156895690652
"SLC46A3",0.766,0.000242554386350383
"EGLN1",1.466,0.000245075174036968
"HS3ST2",0.843,0.000245144479418568
"GPR116",0.849,0.000246172051619297
"LRRC3B",0.733,0.000247068171973998
"LOC284276",0.834,0.000247530534655312
"TGIF1",1.537,0.000248578345920503
"MLF1IP",1.276,0.00025020104071223
"SH3BP5",0.74,0.000252815498129165
"ZNF451",0.552,0.00025380026669124
"LY9",0.814,0.000255782737199862
"DNAJC28",0.716,0.00025608151724894
"PSMD12",1.752,0.000257088248062788
"WDR91",0.71,0.000257173621678556
"PGM2",1.425,0.000260739868331813
"NCAPG",1.223,0.00026139732763102
"FBXO9",0.629,0.000262010577989444
"MAP3K3",0.668,0.00026602337550325
"ACSL3",1.463,0.000267500153060847
"LRRC27",0.676,0.000269323459859184
"ASB2",0.816,0.000272111338410883
"PCDH7",1.163,0.000273159862206937
"PRDM2",0.61,0.000274280690544027
